 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  6.830274843168536e-02  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  6.830274843168534e-02  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  6.830274843168536e-02  0.000000000000000e+00
 1.666666666666667e-02 -5.192675304345288e-05 -1.369846714359413e-10  3.669787997789831e-13  6.945484779886811e-02  0.000000000000000e+00 -5.456231516428957e-05 -2.864428605689944e-04  1.608233945321613e-13  6.945503082024240e-02  0.000000000000000e+00 -5.719789139952500e-05 -5.294285644248860e-04  1.024972207802621e-13  6.945521393710527e-02  0.000000000000000e+00
 3.333333333333333e-02 -2.112237985526333e-04 -5.259064468632335e-10  8.111115945563796e-13  7.063494570330842e-02  0.000000000000000e+00 -2.219455533309370e-04 -1.126373350747950e-03  6.320534373660536e-13  7.063570306697466e-02  0.000000000000000e+00 -2.326675387663592e-04 -2.081907313235595e-03  5.494589158661078e-13  7.063646053790805e-02  0.000000000000000e+00
 5.000000000000000e-02 -4.833395341521096e-04 -1.131622049538317e-09  1.410538352786261e-12  7.184389741882481e-02  0.000000000000000e+00 -5.078778772653158e-04 -2.490726542391219e-03  1.397148022275196e-12  7.184566063993987e-02  0.000000000000000e+00 -5.324174262350317e-04 -4.603854366454557e-03  1.587041262296474e-12  7.184742403287732e-02  0.000000000000000e+00
 6.666666666666667e-02 -8.739601421212182e-04 -1.919892297225223e-09  2.219866651609337e-12  7.308258174442558e-02  0.000000000000000e+00 -9.183398888534839e-04 -4.350479750445939e-03  2.439735913295493e-12  7.308582614332548e-02  0.000000000000000e+00 -9.627235781210598e-04 -8.041857775273961e-03  3.145962657047363e-12  7.308907090649841e-02  0.000000000000000e+00
 8.333333333333333e-02 -1.389018117608934e-03 -2.861516450874957e-09  3.258070896405840e-12  7.435190040886766e-02  0.000000000000000e+00 -1.459573999757551e-03 -6.676651149907828e-03  3.743502036135382e-12  7.435714899823583e-02  0.000000000000000e+00 -1.530139846433944e-03 -1.234267267046516e-02  5.218842719090233e-12  7.436239839508964e-02  0.000000000000000e+00
 1.000000000000000e-01 -2.034700725629432e-03 -3.933308220793741e-09  4.507567930023271e-12  7.565277711573926e-02  0.000000000000000e+00 -2.138093770907418e-03 -9.440297723915494e-03  5.292072335905118e-12  7.566060483949087e-02  0.000000000000000e+00 -2.241508217417732e-03 -1.745321702783483e-02  7.750911024118068e-12  7.566843424056163e-02  0.000000000000000e+00
 1.166666666666667e-01 -2.817458296941289e-03 -5.117399518028698e-09  5.970106353725413e-12  7.698615621065234e-02  0.000000000000000e+00 -2.960693129415382e-03 -1.261251246224872e-02  7.068956531242065e-12  7.699719456600597e-02  0.000000000000000e+00 -3.103969045535144e-03 -2.332056588097758e-02  1.072483074571196e-11  7.700823613678237e-02  0.000000000000000e+00
 1.333333333333333e-01 -3.744012252716980e-03 -6.399712683402559e-09  7.601329288231540e-12  7.835300089210567e-02  0.000000000000000e+00 -3.934455350137974e-03 -1.616442072012509e-02  9.057692096359204e-12  7.836794296993380e-02  0.000000000000000e+00 -4.124971100952654e-03 -2.989194379062860e-02  1.407907124217900e-11  7.838289079128434e-02  0.000000000000000e+00
 1.500000000000000e-01 -4.821362723715568e-03 -7.768520188244921e-09  9.391459832031046e-12  7.975429087376508e-02  0.000000000000000e+00 -5.066761663407035e-03 -2.006717563667595e-02  1.124185466938599e-11  7.977389685496601e-02  0.000000000000000e+00 -5.312281289561551e-03 -3.711471535618524e-02  1.780303682252793e-11  7.979351251680436e-02  0.000000000000000e+00
 1.666666666666667e-01 -6.056795600701577e-03 -9.213303550636986e-09  1.135393168372190e-11  8.119101938809181e-02  0.000000000000000e+00 -6.365299319517632e-03 -2.429195250068943e-02  1.360496437730063e-11  8.121612253641905e-02  0.000000000000000e+00 -6.673993871891045e-03 -4.493637352768155e-02  2.181614611185267e-11  8.124124124790448e-02  0.000000000000000e+00
