 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  9.714451465470120e-16  2.459782813516023e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.147623662767217e-13  2.570346636164843e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  6.938893903907228e-18  2.689776008985293e-01
 1.666666666666667e-02 -2.468464986595632e-07 -1.200294809556614e-05 -1.200008541562951e-05 -1.137538417558814e-07  2.459489905289585e-01 -3.290588661778858e-07 -1.449732210700278e-05 -1.202990267211716e-05 -1.488820081038678e-07  2.570017388145455e-01 -4.311032373255450e-07 -1.756454610128905e-05 -1.197397493990005e-05 -1.895093047626917e-07  2.689401970827085e-01
 3.333333333333333e-02 -1.011952185782242e-06 -4.721399159473248e-05 -4.720281304992999e-05 -4.687120115295929e-07  2.458592835478239e-01 -1.346835172888418e-06 -5.701933858861044e-05 -4.732496316450785e-05 -6.149421858739346e-07  2.569007530843105e-01 -1.762340947862920e-06 -6.907299918930323e-05 -4.711117656434460e-05 -7.833015528493914e-07  2.688259703492684e-01
 5.000000000000000e-02 -2.346249602835221e-06 -1.044601372895346e-04 -1.044356111894618e-04 -1.087308040659263e-06  2.457061324105688e-01 -3.114372019160727e-06 -1.261300608982434e-04 -1.047240373268886e-04 -1.427437709006218e-06  2.567283116977471e-01 -4.066747414915818e-06 -1.527563678924027e-04 -1.042748160635446e-04 -1.818355643203040e-06  2.686311537563696e-01
 6.666666666666667e-02 -4.321677758079533e-06 -1.825992032668013e-04 -1.825566783821980e-04 -1.991965870938583e-06  2.454863933187539e-01 -5.715244585983515e-06 -2.204178269505606e-04 -1.831059655301656e-04 -2.615523153601251e-06  2.564809166586169e-01 -7.441341028217125e-06 -2.668567752819734e-04 -1.823804752066269e-04 -3.331459922935320e-06  2.683518112942045e-01
 8.333333333333333e-02 -7.034100153155681e-06 -2.805181343546112e-04 -2.804532901368451e-04 -3.204852961381788e-06  2.451968237756499e-01 -9.258612867900796e-06 -3.384935081783523e-04 -2.813873962698721e-04 -4.207842937795081e-06  2.561549680540774e-01 -1.201029291066622e-05 -4.096256896743665e-04 -2.803931633957521e-04 -5.358546645066464e-06  2.679839267508557e-01
 1.000000000000000e-01 -1.060637249492924e-05 -3.971305492042124e-04 -3.970393593197494e-04 -4.747489582491993e-06  2.448340776023797e-01 -1.388240417272806e-05 -4.789879020064697e-04 -3.985196177494418e-04 -6.232058860522471e-06  2.557467657976653e-01 -1.792819364485705e-05 -5.793213131944225e-04 -3.973230844849934e-04 -7.934073545344533e-06  2.675233971562760e-01
 1.166666666666667e-01 -1.519153618083271e-05 -5.313734821241548e-04 -5.312521938502859e-04 -6.640352163127250e-06  2.443947037814748e-01 -1.975659268750466e-05 -6.405482676228522e-04 -5.334843424549887e-04 -8.714308123491943e-06  2.552525116889208e-01 -2.538337200161910e-05 -7.742051558793511e-04 -5.322200300754074e-04 -1.109031188747944e-05  2.669660378468894e-01
 1.333333333333333e-01 -2.097610656182428e-05 -6.822032881211096e-04 -6.820484125344417e-04 -8.902421177008069e-06  2.438751459752433e-01 -2.708653528121080e-05 -8.218339785167478e-04 -6.852884070469023e-04 -1.167858792881088e-05  2.546683117818264e-01 -3.460122094831909e-05 -9.925378462851478e-04 -6.841663935487005e-04 -1.485654310521417e-05  2.663075870434546e-01
 1.500000000000000e-01 -2.818341657364904e-05 -8.485906900893153e-04 -8.483989967809635e-04 -1.155067119348180e-05  2.432717423353600e-01 -3.611631385983579e-05 -1.021511284188176e-03 -8.529573710298471e-04 -1.514606339694802e-05  2.539901790349889e-01 -4.584747216870421e-05 -1.232574176926696e-03 -8.522687880625213e-04 -1.925816430521643e-05  2.655437112203229e-01
 1.666666666666667e-01 -3.707696748553920e-05 -1.029514962708422e-03 -1.029283474476825e-03 -1.459948423706420e-05  2.425807254328808e-01 -4.713202502172956e-05 -1.238247195479408e-03 -1.035528022390708e-03 -1.913429642391717e-05  2.532140362105959e-01 -5.943135046979162e-05 -1.492557410031140e-03 -1.035648295190289e-03 -2.431570271463346e-05  2.646700108987854e-01
 1.833333333333333e-01 -4.796372727735448e-05 -1.223957258797162e-03 -1.223683247018728e-03 -1.805999220717142e-05  2.417982225178565e-01 -6.046494750591887e-05 -1.470702532869433e-03 -1.232039826438200e-03 -2.365639421476190e-05  2.523357189845873e-01 -7.570852738769673e-05 -1.770712893358353e-03 -1.233429404814509e-03 -3.004374064882742e-05  2.636820269371722e-01
 2.000000000000000e-01 -6.119730848533171e-05 -1.430893123816862e-03 -1.430574103325949e-03 -2.193935500251210e-05  2.409202557253712e-01 -7.649450700770999e-05 -1.717524204385840e-03 -1.441525384981879e-03 -2.872007764251339e-05  2.513509792270835e-01 -9.508378204745906e-05 -2.065241073741245e-03 -1.444727750711000e-03 -3.644975579251281e-05  2.625752472890792e-01
 2.166666666666667e-01 -7.718094440640338e-05 -1.649284258369910e-03 -1.648917981532882e-03 -2.623995896089415e-05  2.399427423236061e-01 -9.565094637047598e-05 -1.977336808957342e-03 -1.663000006141585e-03 -3.432667131789136e-05  2.502554884105594e-01 -1.180132687442076e-04 -2.374310048066791e-03 -1.668636806418017e-03 -4.353288162329411e-05  2.613451138659136e-01
