0.000 1.00  1.0013734e-01  1.2468593e-02  2.0101035e+00  4.0404040e-01  2.0101373e+00  1.6782383e-05  0.0000000e+00  4.0462011e-01  1.4347730e-03  0.0000000e+00  0.0000000e+00  0.0000000e+00  8.9221662e-01  2.2455815e-11  0.0000000e+00 7.1407554e-01 -7.5828233e-14 -0.0000000e+00 9.9636093e-02  3.6583708e-02
0.010 1.00  1.0013662e-01  1.2468593e-02  2.0101034e+00  4.0404040e-01  2.0101497e+00  2.3035687e-05  6.0443723e-06  4.0462220e-01  1.4399438e-03  0.0000000e+00  9.9251471e-03  1.0000000e-02  8.9221679e-01  1.9953090e-07  2.1843295e-07 7.1407533e-01 -2.9912793e-07 -1.1136974e-07 9.9635752e-02  3.6583663e-02
0.100 1.00  1.0006960e-01  1.2468593e-02  2.0100898e+00  4.0404040e-01  2.0113374e+00  6.2068275e-04  6.0443723e-04  4.0482936e-01  1.9526778e-03  0.0000000e+00  9.9250394e-02  1.0000000e-01  8.9223451e-01  2.0053161e-05  2.1843295e-05 7.1405435e-01 -2.9672597e-05 -1.1136974e-05 9.9601911e-02  3.6579158e-02
0.150 1.00  9.9985252e-02  1.2468593e-02  2.0100726e+00  4.0404040e-01  2.0128400e+00  1.3767572e-03  1.3599838e-03  4.0509274e-01  2.6045322e-03  0.0000000e+00  1.4892462e-01  1.5000000e-01  8.9225716e-01  4.5438450e-05  4.9147415e-05 7.1402835e-01 -6.6095776e-05 -2.5058192e-05 9.9558989e-02  3.6573367e-02
0.200 1.00  9.9866729e-02  1.2468593e-02  2.0100486e+00  4.0404040e-01  2.0149596e+00  2.4432401e-03  2.4177489e-03  4.0546514e-01  3.5262165e-03  0.0000000e+00  1.9862432e-01  2.0000000e-01  8.9228939e-01  8.1564433e-05  8.7373182e-05 7.1399283e-01 -1.1582631e-04 -4.4547898e-05 9.9498509e-02  3.6565064e-02
0.250 1.00  9.9715333e-02  1.2468593e-02  2.0100179e+00  4.0404040e-01  2.0176927e+00  3.8182646e-03  3.7777327e-03  4.0594948e-01  4.7249585e-03  0.0000000e+00  2.4835634e-01  2.5000000e-01  8.9233175e-01  1.2904779e-04  1.3652060e-04 7.1394877e-01 -1.7752688e-04 -6.9606090e-05 9.9420149e-02  3.6554070e-02
0.300 1.00  9.9530731e-02  1.2468593e-02  2.0099806e+00  4.0404040e-01  2.0210590e+00  5.5117015e-03  5.4399351e-03  4.0655113e-01  6.2140511e-03  0.0000000e+00  2.9814005e-01  3.0000000e-01  8.9238497e-01  1.8868813e-04  1.9658966e-04 7.1389743e-01 -2.4942878e-04 -1.0023277e-04 9.9323354e-02  3.6540107e-02
0.350 1.00  9.9313600e-02  1.2468593e-02  2.0099368e+00  4.0404040e-01  2.0250704e+00  7.5294336e-03  7.4043561e-03  4.0727616e-01  8.0085041e-03  0.0000000e+00  3.4797321e-01  3.5000000e-01  8.9244993e-01  2.6149871e-04  2.6758037e-04 7.1384044e-01 -3.2923844e-04 -1.3642794e-04 9.9207493e-02  3.6522850e-02
0.375 1.00  9.9191024e-02  1.2468593e-02  2.0099121e+00  4.0404040e-01  2.0273437e+00  8.6728593e-03  8.4998985e-03  4.0768728e-01  9.0260057e-03  0.0000000e+00  3.7293648e-01  3.7500000e-01  8.9248716e-01  3.0322612e-04  3.0717134e-04 7.1381047e-01 -3.7121124e-04 -1.5661370e-04 9.9142170e-02  3.6512865e-02
0.400 1.00  9.9064021e-02  1.2468593e-02  2.0098865e+00  4.0404040e-01  2.0297487e+00  9.8822339e-03  9.6709957e-03  4.0813185e-01  1.0126320e-02  0.0000000e+00  3.9795381e-01  4.0000000e-01  8.9252777e-01  3.4874071e-04  3.4949273e-04 7.1377991e-01 -4.1401359e-04 -1.7819159e-04 9.9071823e-02  3.6501913e-02
0.425 1.00  9.8927499e-02  1.2468593e-02  2.0098591e+00  4.0404040e-01  2.0323429e+00  1.1186747e-02  1.0917647e-02  4.0861187e-01  1.1314389e-02  0.0000000e+00  4.2295210e-01  4.2500000e-01  8.9257191e-01  3.9821711e-04  3.9454452e-04 7.1374907e-01 -4.5719655e-04 -2.0116160e-04 9.8996216e-02  3.6489894e-02
0.450 1.00  9.8783203e-02  1.2468593e-02  2.0098301e+00  4.0404040e-01  2.0351099e+00  1.2578078e-02  1.2239854e-02  4.0912766e-01  1.2590967e-02  0.0000000e+00  4.4795071e-01  4.5000000e-01  8.9261981e-01  4.5190612e-04  4.4232673e-04 7.1371842e-01 -5.0012295e-04 -2.2552373e-04 9.8915368e-02  3.6476784e-02
0.475 1.00  9.8631167e-02  1.2468593e-02  2.0097997e+00  4.0404040e-01  2.0380561e+00  1.4059320e-02  1.3637615e-02  4.0968157e-01  1.3961896e-02  0.0000000e+00  4.7299779e-01  4.7500000e-01  8.9267166e-01  5.1001125e-04  4.9283935e-04 7.1368828e-01 -5.4232763e-04 -2.5127798e-04 9.8829011e-02  3.6462484e-02
0.500 1.00  9.8471718e-02  1.2468593e-02  2.0097678e+00  4.0404040e-01  2.0411825e+00  1.5631043e-02  1.5110931e-02  4.1027514e-01  1.5430976e-02  0.0000000e+00  4.9807079e-01  5.0000000e-01  8.9272768e-01  5.7280181e-04  5.4608239e-04 7.1365916e-01 -5.8310052e-04 -2.7842436e-04 9.8737018e-02  3.6446913e-02
