0.000 1.00  9.0815614e-01  6.8302748e-02  4.7774702e+00  1.8947368e+01  4.5892273e+00 -3.9402208e-02  0.0000000e+00  1.9126683e+01  9.4638292e-03  0.0000000e+00  0.0000000e+00  0.0000000e+00  8.3024671e-01  1.0075871e-06  0.0000000e+00  5.1888272e-01  1.5284856e-09 -0.0000000e+00  7.6621891e-02  4.9133726e-02
0.100 1.00  9.0813229e-01  6.8302748e-02  4.7768799e+00  1.8947368e+01  4.5888663e+00 -3.9359076e-02  6.0443723e-04  1.9123172e+01  9.2785060e-03  0.0000000e+00  2.6467623e-02  1.0000000e-01  8.3025112e-01  6.3208884e-06  2.1843295e-05  5.1892972e-01  9.0569014e-05 -1.1136974e-05  7.6625202e-02  4.9134317e-02
0.150 1.00  9.0810247e-01  6.8302748e-02  4.7761419e+00  1.8947368e+01  4.5884150e+00 -3.9305147e-02  1.3599838e-03  1.9118783e+01  9.0468573e-03  0.0000000e+00  3.9701435e-02  1.5000000e-01  8.3025664e-01  1.2964634e-05  4.9147415e-05  5.1898843e-01  2.0371427e-04 -2.5058192e-05  7.6629341e-02  4.9135056e-02
0.200 1.00  9.0806065e-01  6.8302748e-02  4.7751079e+00  1.8947368e+01  4.5877832e+00 -3.9229417e-02  2.4177489e-03  1.9112638e+01  8.7225557e-03  0.0000000e+00  5.2935242e-02  2.0000000e-01  8.3026436e-01  2.2269667e-05  8.7373182e-05  5.1907056e-01  3.6199811e-04 -4.4547898e-05  7.6635135e-02  4.9136088e-02
0.250 1.00  9.0803376e-01  6.8302748e-02  4.7744434e+00  1.8947368e+01  4.5869103e+00 -3.9278517e-02  3.7777327e-03  1.9104800e+01  8.3088865e-03  0.0000000e+00  6.6169056e-02  2.5000000e-01  8.3027433e-01  3.4278913e-05  1.3652060e-04  5.1917616e-01  5.6551449e-04 -6.9606090e-05  7.6642545e-02  4.9137399e-02
0.300 1.00  9.0808007e-01  6.8302748e-02  4.7755881e+00  1.8947368e+01  4.5856372e+00 -3.9775392e-02  5.4399351e-03  1.9095170e+01  7.8006571e-03  0.0000000e+00  7.9402877e-02  3.0000000e-01  8.3028641e-01  4.8833029e-05  1.9658966e-04  5.1930458e-01  8.1300340e-04 -1.0023277e-04  7.6651619e-02  4.9139049e-02
0.350 1.00  9.0803723e-01  6.8302748e-02  4.7745291e+00  1.8947368e+01  4.5843741e+00 -3.9826967e-02  7.4043561e-03  1.9083751e+01  7.1979785e-03  0.0000000e+00  9.2636677e-02  3.5000000e-01  8.3030097e-01  6.6367233e-05  2.6758037e-04  5.1945646e-01  1.1057160e-03 -1.3642794e-04  7.6662369e-02  4.9140925e-02
0.375 1.00  9.0780678e-01  6.8302748e-02  4.7688460e+00  1.8947368e+01  4.5841997e+00 -3.8719287e-02  8.4998985e-03  1.9077457e+01  6.8657765e-03  0.0000000e+00  9.9253578e-02  3.7500000e-01  8.3030912e-01  7.6181248e-05  3.0717134e-04  5.1954154e-01  1.2696920e-03 -1.5661370e-04  7.6668438e-02  4.9141948e-02
0.400 1.00  9.0791925e-01  6.8302748e-02  4.7716170e+00  1.8947368e+01  4.5830963e+00 -3.9508774e-02  9.6709957e-03  1.9070637e+01  6.5058247e-03  0.0000000e+00  1.0587049e-01  4.0000000e-01  8.3031745e-01  8.6213024e-05  3.4949273e-04  5.1963173e-01  1.4434927e-03 -1.7819159e-04  7.6674785e-02  4.9143142e-02
0.425 1.00  9.0786559e-01  6.8302748e-02  4.7702943e+00  1.8947368e+01  4.5823718e+00 -3.9394315e-02  1.0917647e-02  1.9063481e+01  6.1281427e-03  0.0000000e+00  1.1248739e-01  4.2500000e-01  8.3032634e-01  9.6923866e-05  3.9454452e-04  5.1972777e-01  1.6286001e-03 -2.0116160e-04  7.6681531e-02  4.9144366e-02
0.450 1.00  9.0773465e-01  6.8302748e-02  4.7670717e+00  1.8947368e+01  4.5817828e+00 -3.8868499e-02  1.2239854e-02  1.9055832e+01  5.7244483e-03  0.0000000e+00  1.1910430e-01  4.5000000e-01  8.3033621e-01  1.0880376e-04  4.4232673e-04  5.1982993e-01  1.8254712e-03 -2.2552373e-04  7.6688820e-02  4.9145613e-02
0.475 1.00  9.0771572e-01  6.8302748e-02  4.7666065e+00  1.8947368e+01  4.5808457e+00 -3.8971281e-02  1.3637615e-02  1.9047640e+01  5.2921338e-03  0.0000000e+00  1.2572121e-01  4.7500000e-01  8.3034653e-01  1.2124277e-04  4.9283935e-04  5.1993719e-01  2.0321846e-03 -2.5127798e-04  7.6696553e-02  4.9146978e-02
0.500 1.00  9.0783874e-01  6.8302748e-02  4.7696331e+00  1.8947368e+01  4.5795149e+00 -3.9860121e-02  1.5110931e-02  1.9039155e+01  4.8442879e-03  0.0000000e+00  1.3233811e-01  5.0000000e-01  8.3035684e-01  1.3365318e-04  5.4608239e-04  5.2005019e-01  2.2499613e-03 -2.7842436e-04  7.6704482e-02  4.9148493e-02
