0.000 1.00  9.0815006e-01  6.8302748e-02  4.7773196e+00  1.8947368e+01  4.5892434e+00 -3.9368573e-02  0.0000000e+00  1.9126689e+01  9.4641338e-03  0.0000000e+00  0.0000000e+00  0.0000000e+00  8.3024587e-01 -3.1490799e-10  0.0000000e+00 5.1888272e-01  1.7374768e-11 -0.0000000e+00 7.6621891e-02  4.9133881e-02
0.100 1.00  9.0814227e-01  6.8302748e-02  4.7771266e+00  1.8947368e+01  4.5888480e+00 -3.9412526e-02  6.0443723e-04  1.9123229e+01  9.2815515e-03  0.0000000e+00  2.6738797e-02  1.0000000e-01  8.3025028e-01  5.3100652e-06  2.1843295e-05 5.1892965e-01  9.0437583e-05 -1.1136974e-05 7.6625189e-02  4.9134477e-02
0.150 1.00  9.0812531e-01  6.8302748e-02  4.7767072e+00  1.8947368e+01  4.5883665e+00 -3.9428979e-02  1.3599838e-03  1.9118859e+01  9.0509061e-03  0.0000000e+00  3.9539898e-02  1.5000000e-01  8.3025580e-01  1.1957215e-05  4.9147415e-05 5.1898833e-01  2.0352153e-04 -2.5058192e-05 7.6629319e-02  4.9135218e-02
0.200 1.00  9.0810037e-01  6.8302748e-02  4.7760901e+00  1.8947368e+01  4.5876947e+00 -3.9445528e-02  2.4177489e-03  1.9112736e+01  8.7277389e-03  0.0000000e+00  5.3515046e-02  2.0000000e-01  8.3026353e-01  2.1273569e-05  8.7373182e-05 5.1907045e-01  3.6178545e-04 -4.4547898e-05 7.6635105e-02  4.9136257e-02
0.250 1.00  9.0806883e-01  6.8302748e-02  4.7753102e+00  1.8947368e+01  4.5868279e+00 -3.9470160e-02  3.7777327e-03  1.9104851e+01  8.3116003e-03  0.0000000e+00  6.6552182e-02  2.5000000e-01  8.3027349e-01  3.3266628e-05  1.3652060e-04 5.1917599e-01  5.6518927e-04 -6.9606090e-05 7.6642554e-02  4.9137592e-02
0.300 1.00  9.0803219e-01  6.8302748e-02  4.7744046e+00  1.8947368e+01  4.5857608e+00 -3.9511493e-02  5.4399351e-03  1.9095192e+01  7.8018074e-03  0.0000000e+00  7.9208751e-02  3.0000000e-01  8.3028568e-01  4.7950654e-05  1.9658966e-04 5.1930493e-01  8.1368349e-04 -1.0023277e-04 7.6651674e-02  4.9139225e-02
0.350 1.00  9.0798643e-01  6.8302748e-02  4.7732745e+00  1.8947368e+01  4.5845030e+00 -3.9547596e-02  7.4043561e-03  1.9083757e+01  7.1982772e-03  0.0000000e+00  9.2764735e-02  3.5000000e-01  8.3030011e-01  6.5334029e-05  2.6758037e-04 5.1945720e-01  1.1071536e-03 -1.3642794e-04 7.6662471e-02  4.9141156e-02
0.375 1.00  9.0795787e-01  6.8302748e-02  4.7725695e+00  1.8947368e+01  4.5838071e+00 -3.9551536e-02  8.4998985e-03  1.9077364e+01  6.8608610e-03  0.0000000e+00  9.9562979e-02  3.7500000e-01  8.3030817e-01  7.5039834e-05  3.0717134e-04 5.1954211e-01  1.2707824e-03 -1.5661370e-04 7.6668504e-02  4.9142233e-02
0.400 1.00  9.0792812e-01  6.8302748e-02  4.7718356e+00  1.8947368e+01  4.5830606e+00 -3.9560256e-02  9.6709957e-03  1.9070526e+01  6.4999655e-03  0.0000000e+00  1.0733051e-01  4.0000000e-01  8.3031681e-01  8.5447486e-05  3.4949273e-04 5.1963282e-01  1.4455976e-03 -1.7819159e-04 7.6674958e-02  4.9143383e-02
0.425 1.00  9.0790073e-01  6.8302748e-02  4.7711604e+00  1.8947368e+01  4.5822524e+00 -3.9593724e-02  1.0917647e-02  1.9063225e+01  6.1146762e-03  0.0000000e+00  1.1285138e-01  4.2500000e-01  8.3032602e-01  9.6531934e-05  3.9454452e-04 5.1972936e-01  1.6316563e-03 -2.0116160e-04 7.6681840e-02  4.9144608e-02
0.450 1.00  9.0786948e-01  6.8302748e-02  4.7703901e+00  1.8947368e+01  4.5813994e+00 -3.9617460e-02  1.2239854e-02  1.9055473e+01  5.7054999e-03  0.0000000e+00  1.1929466e-01  4.5000000e-01  8.3033579e-01  1.0830420e-04  4.4232673e-04 5.1983171e-01  1.8289055e-03 -2.2552373e-04 7.6689150e-02  4.9145908e-02
0.475 1.00  9.0783571e-01  6.8302748e-02  4.7695583e+00  1.8947368e+01  4.5804982e+00 -3.9638923e-02  1.3637615e-02  1.9047268e+01  5.2724743e-03  0.0000000e+00  1.2638887e-01  4.7500000e-01  8.3034614e-01  1.2076665e-04  4.9283935e-04 5.1993985e-01  2.0373206e-03 -2.5127798e-04 7.6696886e-02  4.9147283e-02
0.500 1.00  9.0779551e-01  6.8302748e-02  4.7685687e+00  1.8947368e+01  4.5795593e+00 -3.9636493e-02  1.5110931e-02  1.9038618e+01  4.8159253e-03  0.0000000e+00  1.3368853e-01  5.0000000e-01  8.3035706e-01  1.3392076e-04  5.4608239e-04 5.2005377e-01  2.2568611e-03 -2.7842436e-04 7.6705049e-02  4.9148735e-02
