0.000 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0000605e+00  3.0256734e-05  0.0000000e+00 -0.0000000e+00           -nan  0.0000000e+00  0.0000000e+00  0.0000000e+00  8.9897967e-01  2.0482167e-07  0.0000000e+00  7.3205081e-01  3.5454726e-09 -0.0000000e+00  9.6225045e-02  3.4020616e-02
0.010 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0000726e+00  3.6301686e-05  6.0443723e-06 -0.0000000e+00           -nan  0.0000000e+00  1.0000028e-02  1.0000000e-02  8.9897987e-01  4.2325775e-07  2.1843295e-07  7.3205073e-01 -1.0782455e-07 -1.1136974e-07  9.6224705e-02  3.4020566e-02
0.100 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0012695e+00  6.3475425e-04  6.0443723e-04 -0.0000000e+00           -nan  0.0000000e+00  1.0000028e-01  1.0000000e-01  8.9899935e-01  2.2092960e-05  2.1843295e-05  7.3204266e-01 -1.1136573e-05 -1.1136974e-05  9.6191063e-02  3.4015669e-02
0.150 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0027808e+00  1.3903827e-03  1.3599838e-03 -0.0000000e+00           -nan  0.0000000e+00  1.5000043e-01  1.5000000e-01  8.9902406e-01  4.9579109e-05  4.9147415e-05  7.3203245e-01 -2.5070587e-05 -2.5058192e-05  9.6148577e-02  3.4009441e-02
0.200 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0048965e+00  2.4482749e-03  2.4177489e-03 -0.0000000e+00           -nan  0.0000000e+00  2.0000057e-01  2.0000000e-01  8.9905886e-01  8.8295123e-05  8.7373182e-05  7.3201816e-01 -4.4594801e-05 -4.4547898e-05  9.6089083e-02  3.4000637e-02
0.250 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0076169e+00  3.8084430e-03  3.7777327e-03 -0.0000000e+00           -nan  0.0000000e+00  2.5000071e-01  2.5000000e-01  8.9910397e-01  1.3847702e-04  1.3652060e-04  7.3199976e-01 -6.9725906e-05 -6.9606090e-05  9.6012564e-02  3.3989171e-02
0.300 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0109418e+00  5.4709029e-03  5.4399351e-03 -0.0000000e+00           -nan  0.0000000e+00  3.0000085e-01  3.0000000e-01  8.9915967e-01  2.0042887e-04  1.9658966e-04  7.3197725e-01 -1.0048550e-04 -1.0023277e-04  9.5919003e-02  3.3974936e-02
0.350 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0148713e+00  7.4356739e-03  7.4043561e-03 -0.0000000e+00           -nan  0.0000000e+00  3.5000099e-01  3.5000000e-01  8.9922628e-01  2.7452362e-04  2.6758037e-04  7.3195059e-01 -1.3690022e-04 -1.3642794e-04  9.5808375e-02  3.3957796e-02
0.375 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0170629e+00  8.5314330e-03  8.4998985e-03 -0.0000000e+00           -nan  0.0000000e+00  3.7500106e-01  3.7500000e-01  8.9926380e-01  3.1626006e-04  3.0717134e-04  7.3193570e-01 -1.5723797e-04 -1.5661370e-04  9.5746653e-02  3.3948088e-02
0.400 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0194056e+00  9.7027788e-03  9.6709957e-03 -0.0000000e+00           -nan  0.0000000e+00  4.0000113e-01  4.0000000e-01  8.9930420e-01  3.6120354e-04  3.4949273e-04  7.3191977e-01 -1.7900182e-04 -1.7819159e-04  9.5680654e-02  3.3937593e-02
0.425 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0218994e+00  1.0949715e-02  1.0917647e-02 -0.0000000e+00           -nan  0.0000000e+00  4.2500120e-01  4.2500000e-01  8.9934755e-01  4.0942030e-04  3.9454452e-04  7.3190279e-01 -2.0219659e-04 -2.0116160e-04  9.5610373e-02  3.3926287e-02
0.450 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0245445e+00  1.2272244e-02  1.2239854e-02 -0.0000000e+00           -nan  0.0000000e+00  4.5000128e-01  4.5000000e-01  8.9939390e-01  4.6098101e-04  4.4232673e-04  7.3188476e-01 -2.2682742e-04 -2.2552373e-04  9.5535806e-02  3.3914145e-02
0.475 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0273407e+00  1.3670371e-02  1.3637615e-02 -0.0000000e+00           -nan  0.0000000e+00  4.7500135e-01  4.7500000e-01  8.9944332e-01  5.1596079e-04  4.9283935e-04  7.3186567e-01 -2.5289981e-04 -2.5127798e-04  9.5456949e-02  3.3901139e-02
0.500 1.00 -0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0302882e+00  1.5144099e-02  1.5110931e-02 -0.0000000e+00           -nan  0.0000000e+00  5.0000142e-01  5.0000000e-01  8.9949589e-01  5.7443923e-04  5.4608239e-04  7.3184553e-01 -2.8041962e-04 -2.7842436e-04  9.5373796e-02  3.3887242e-02
