 0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00  7.829800413184050e-17  2.254283248093152e-01 -0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00 -5.987327699030501e-12  2.263431208440686e-01 -0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00  0.000000000000000e+00  2.272625846692622e-01
 1.666666666666667e-02 -2.637624063911975e-08 -8.838805105809612e-06 -8.812583495988189e-06 -6.191715508512221e-08  2.254026447582632e-01 -3.312734847197984e-08 -9.028452865005664e-06 -8.807360324719596e-06 -6.177126279958658e-08  2.263171710241640e-01 -3.998796413577724e-08 -9.220220238565523e-06 -8.801629709839383e-06 -6.416780135549508e-08  2.272363609452791e-01
 3.333333333333333e-02 -1.128754193652600e-07 -3.476375875548938e-05 -3.466039974017432e-05 -2.524802136083867e-07  2.253238616200643e-01 -1.403499254118705e-07 -3.550883899562866e-05 -3.464011197181263e-05 -2.552344502601862e-07  2.262375658980040e-01 -1.682690045332512e-07 -3.626239813057752e-05 -3.461783258431837e-05 -2.606896983623988e-07  2.271559256342114e-01
 5.000000000000000e-02 -2.800952685890096e-07 -7.689882512582752e-05 -7.666966019552389e-05 -5.853442109438557e-07  2.251892858211293e-01 -3.430125824314891e-07 -7.854422082886818e-05 -7.662575224456309e-05 -5.928983289579318e-07  2.261015884418637e-01 -4.069447073828278e-07 -8.020867116977647e-05 -7.657745621859335e-05 -6.031669473202927e-07  2.270185342041835e-01
 6.666666666666667e-02 -5.629567369972658e-07 -1.343824349645522e-04 -1.339810922396239e-04 -1.073140399274335e-06  2.249961140176764e-01 -6.768439355831689e-07 -1.372513894933865e-04 -1.339067870888500e-04 -1.087534687572703e-06  2.259064073479170e-01 -7.925602567392364e-07 -1.401540724945768e-04 -1.338248619791721e-04 -1.104521081918573e-06  2.268213270272924e-01
 8.333333333333333e-02 -1.012838637931103e-06 -2.063668645844907e-04 -2.057493429404948e-04 -1.728641909060912e-06  2.247414251241262e-01 -1.194095495725823e-06 -2.107602780900851e-04 -2.056401177380185e-04 -1.752080839481836e-06  2.256490733832822e-01 -1.378247651560743e-06 -2.152059615928676e-04 -2.055192934901302e-04 -1.777922147704841e-06  2.265613264870069e-01
 1.000000000000000e-01 -1.699870041742764e-06 -2.920173868557606e-04 -2.911421012703392e-04 -2.564651703557631e-06  2.244221768071555e-01 -1.965837919093875e-06 -2.982130983037872e-04 -2.909961381246822e-04 -2.599514326110107e-06  2.253265157910409e-01 -2.236025520117595e-06 -3.044831675459313e-04 -2.908339484326978e-04 -2.636580407839249e-06  2.262354331614184e-01
 1.166666666666667e-01 -2.715374804992615e-06 -3.905111233637434e-04 -3.893389123167612e-04 -3.593871199672734e-06  2.240352018804858e-01 -3.084408430434254e-06 -3.987631746759654e-04 -3.891575162422987e-04 -3.642703853347413e-06  2.249355387618361e-01 -3.459249224241244e-06 -4.071148333590818e-04 -3.889547257053986e-04 -3.693573898336117e-06  2.258404223868753e-01
 1.333333333333333e-01 -4.174457927101962e-06 -5.010355529776249e-04 -4.995296577328791e-04 -4.828733126559637e-06  2.235772047744113e-01 -4.665998977998701e-06 -5.115734510452467e-04 -4.993176328263317e-04 -4.894234135632751e-06  2.244728180089740e-01 -5.165200542116745e-06 -5.222389428544681e-04 -4.990786211690249e-04 -4.961661593158593e-06  2.253729409430035e-01
 1.500000000000000e-01 -6.218718335944650e-06 -6.227866474438228e-04 -6.209126772018745e-04 -6.281202470807570e-06  2.230447581211834e-01 -6.853369209909730e-06 -6.358146443579349e-04 -6.206786514535795e-04 -6.366202261517161e-06  2.239348974852485e-01 -7.497800646773420e-06 -6.490005062654605e-04 -6.204117452395142e-04 -6.453079481326205e-06  2.248295039001085e-01
