 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.228184220991579e-15  6.789789441841823e-02  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.064252852511771e-14  6.935146051919519e-02  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.734723475976807e-18  7.081874747759989e-02
 1.666666666666667e-02 -1.833093951332466e-07 -8.290353757995543e-06 -8.292066313565554e-06 -1.099108260411985e-07  6.788169695619292e-02 -1.972678750859893e-07 -8.683180694272260e-06 -8.310990728548117e-06 -1.121657638800816e-07  6.933470735266276e-02 -2.115794110246272e-07 -9.085760018783407e-06 -8.328819938766560e-06 -1.144764152118116e-07  7.080140850252511e-02
 3.333333333333333e-02 -7.533666452092945e-07 -3.261931956673701e-05 -3.262606681035066e-05 -4.539893187043009e-07  6.783208196455159e-02 -8.102342324136985e-07 -3.416327518139441e-05 -3.270136717153059e-05 -4.632833096752248e-07  6.928335420627413e-02 -8.685377489326285e-07 -3.574547558462832e-05 -3.277236823278490e-05 -4.727981351843047e-07  7.074827020160979e-02
 5.000000000000000e-02 -1.753956018794682e-06 -7.220294614591893e-05 -7.221790654747887e-05 -1.053777191352065e-06  6.774747781864499e-02 -1.884429216386782e-06 -7.561418339654957e-05 -7.238770324291370e-05 -1.075377132063113e-06  6.919577386792053e-02 -2.018184539247497e-06 -7.910965258410216e-05 -7.254806220288908e-05 -1.097428289596747e-06  7.065765086899628e-02
 6.666666666666667e-02 -3.248983646787903e-06 -1.262945029631771e-04 -1.263207110196035e-04 -1.930814047436044e-06  6.762633431248455e-02 -3.485782941912811e-06 -1.322454993244529e-04 -1.266254119118501e-04 -1.970384710543380e-06  6.907036581411347e-02 -3.728506955584000e-06 -1.383428586538595e-04 -1.269138504285013e-04 -2.010716712260927e-06  7.052789554420896e-02
 8.333333333333333e-02 -5.324957412315137e-06 -1.941811510623448e-04 -1.942214911565647e-04 -3.106279595618475e-06  6.746713949159450e-02 -5.703125433038220e-06 -2.032991582693253e-04 -1.947052952963706e-04 -3.169857008737328e-06  6.890556796281500e-02 -6.090689690545171e-06 -2.126403449004693e-04 -1.951646316032951e-04 -3.234598922909060e-06  7.035739011136438e-02
 1.000000000000000e-01 -8.093388891781440e-06 -2.751791484386368e-04 -2.752363498784577e-04 -4.600659063089263e-06  6.726843007413186e-02 -8.650601941650408e-06 -2.880446093951536e-04 -2.759485757164448e-04 -4.694616857167308e-06  6.869986894272612e-02 -9.221542970133927e-06 -3.012231832757659e-04 -2.766270986514427e-04 -4.790243665685895e-06  7.014457388667467e-02
 1.166666666666667e-01 -1.169304541467128e-05 -3.686275631769945e-04 -3.687041987732176e-04 -6.433369686925303e-06  6.702880338192546e-02 -1.246992976592374e-05 -3.857724895237682e-04 -3.697003812018901e-04 -6.564374109011700e-06  6.845182073993022e-02 -1.326576277282292e-05 -4.033319003071204e-04 -3.706529811762435e-04 -6.697657291101708e-06  6.988795277489496e-02
 1.333333333333333e-01 -1.629197265607014e-05 -4.738805197173138e-04 -4.739790068772828e-04 -8.622344919967384e-06  6.674692956098680e-02 -1.733241459236489e-05 -4.957868241245722e-04 -4.753217096299597e-04 -8.797297088979777e-06  6.816005155921281e-02 -1.839793945209930e-05 -5.182186385561255e-04 -4.766107138696810e-04 -8.975243742378319e-06  6.958611261196510e-02
 1.500000000000000e-01 -2.208920075413758e-05 -5.902980530717444e-04 -5.904206561721387e-04 -1.118357466800557e-05  6.642156393544832e-02 -2.344063750282701e-05 -6.173958377455879e-04 -5.921799528545296e-04 -1.140954059952216e-05  6.782327872013114e-02 -2.482422392974856e-05 -6.451379331601781e-04 -5.938756172068071e-04 -1.163932084199959e-05  6.923773255060442e-02
