 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.769834656876820e-18 -1.250222955661830e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  9.108848772378606e-12 -1.018695878690914e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -7.294959769443560e-02
 1.666666666666667e-02 -3.551411689857775e-07  7.458551449264309e-06  7.456827258707228e-06  1.749929414766297e-07 -1.250001736397425e-01 -4.108383771492900e-07  4.537612773014615e-06  7.863234648270548e-06  1.161697602255197e-07 -1.018525605609623e-01 -5.313477503449969e-07 -6.051632570131313e-07  8.859436125367804e-06  6.353750318456995e-08 -7.293980626498386e-02
 3.333333333333333e-02 -1.439705722698121e-06  2.933176036070271e-05  2.932654923941438e-05  6.552684465742360e-07 -1.249323151798453e-01 -1.666625432037244e-06  1.784463789698802e-05  3.092102636562339e-05  4.803848046443185e-07 -1.018003335304150e-01 -2.156927680389747e-06 -2.368752350141945e-06  3.483031356791938e-05  2.518905379773323e-07 -7.290977185975059e-02
 5.000000000000000e-02 -3.275316100693095e-06  6.487289104067967e-05  6.486505953707656e-05  1.501521023288860e-06 -1.248164319215501e-01 -3.795938440777517e-06  3.946500239345842e-05  6.837719618022331e-05  1.117657977700979e-06 -1.017111460303131e-01 -4.918269832434949e-06 -5.198591816778553e-06  7.699133883079562e-05  5.812949058223895e-07 -7.285847623916089e-02
 6.666666666666667e-02 -5.872800549570285e-06  1.133449142450759e-04  1.133373305783005e-04  2.748897959627940e-06 -1.246501605536818e-01 -6.817679661929476e-06  6.894597174607813e-05  1.194375870064746e-04  2.054726553819042e-06 -1.015831800204637e-01 -8.848014099126583e-06 -8.984410276666204e-06  1.344076401371466e-04  1.066664491714350e-06 -7.278486360735414e-02
 8.333333333333333e-02 -9.230415003959376e-06  1.740201119209800e-04  1.740168301399328e-04  4.434154329482747e-06 -1.244310630304603e-01 -1.073943783983299e-05  1.058377764063303e-04  1.833096126328501e-04  3.320188554408982e-06 -1.014145606364371e-01 -1.396832348031112e-05 -1.359863377888145e-05  2.061306727683804e-04  1.724900082143432e-06 -7.268784013983684e-02
 1.000000000000000e-01 -1.333194812200881e-05  2.461790231011408e-04  2.461846632161662e-04  6.595948736233852e-06 -1.241566277525213e-01 -1.555573991695275e-05  1.496930633413146e-04  2.592015958758854e-04  4.944593046587813e-06 -1.012033570244291e-01 -2.028918566454264e-05 -1.889711098465233e-05  2.911980820181252e-04  2.574770232769977e-06 -7.256627361698856e-02
 1.166666666666667e-01 -1.814472160773469e-05  3.291090170401896e-04  3.291284154884072e-04  9.275106975399938e-06 -1.238242711572717e-01 -2.124620213897816e-05  2.000661579375576e-04  3.463218784139697e-04  6.960529939610556e-06 -1.009475835952984e-01 -2.780661000311680e-05 -2.472005462391763e-05  3.886335223467998e-04  3.637158422326134e-06 -7.241899320071687e-02
 1.333333333333333e-01 -2.361750043301790e-05  4.221026107488066e-04  4.221406749332962e-04  1.251463841267798e-05 -1.234313399436750e-01 -2.777359410505669e-05  2.565121225107506e-04  4.438776860149593e-04  9.402717830691458e-06 -1.006452017567591e-01 -3.650073123839073e-05 -3.089334624122345e-05  4.974464326420254e-04  4.935189347015651e-06 -7.224478937137058e-02
 1.500000000000000e-01 -2.967833351833346e-05  5.244555424760135e-04  5.245172099901542e-04  1.635969135310231e-05 -1.229751140132940e-01 -3.508183453272725e-05  3.185855990093042e-04  5.510737347127107e-04  1.230808922257313e-05 -1.002941221891305e-01 -4.633383622707649e-05 -3.723024456936017e-05  6.166317691964148e-04  6.494564734615050e-06 -7.204241405132047e-02
