 0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00  0.000000000000000e+00  2.291666666437500e-01 -0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00  0.000000000000000e+00  2.291666666437500e-01 -0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00  0.000000000000000e+00  2.291666666437500e-01
 1.666666666666667e-02 -1.885711669454822e-08 -9.090799180943007e-06 -9.090799180943007e-06  0.000000000000000e+00  2.291401863980343e-01 -1.885711669454822e-08 -9.090799180943007e-06 -9.090799180943007e-06  0.000000000000000e+00  2.291401863980343e-01 -1.885711669454822e-08 -9.090799180943007e-06 -9.090799180943007e-06  0.000000000000000e+00  2.291401863980343e-01
 3.333333333333333e-02 -8.254137896500163e-08 -3.575459966700134e-05 -3.575459966700134e-05  0.000000000000000e+00  2.290589544519750e-01 -8.254137896500163e-08 -3.575459966700134e-05 -3.575459966700134e-05  0.000000000000000e+00  2.290589544519750e-01 -8.254137896500163e-08 -3.575459966700134e-05 -3.575459966700134e-05  0.000000000000000e+00  2.290589544519750e-01
 5.000000000000000e-02 -2.116622899589507e-07 -7.908991725141148e-05 -7.908991725141148e-05  0.000000000000000e+00  2.289201993565630e-01 -2.116622899589507e-07 -7.908991725141148e-05 -7.908991725141148e-05  0.000000000000000e+00  2.289201993565630e-01 -2.116622899589507e-07 -7.908991725141148e-05 -7.908991725141148e-05  0.000000000000000e+00  2.289201993565630e-01
 6.666666666666667e-02 -4.417525108692787e-07 -1.382101613988897e-04 -1.382101613988897e-04  0.000000000000000e+00  2.287210339326879e-01 -4.417525108692787e-07 -1.382101613988897e-04 -1.382101613988897e-04  0.000000000000000e+00  2.287210339326879e-01 -4.417525108692787e-07 -1.382101613988897e-04 -1.382101613988897e-04  0.000000000000000e+00  2.287210339326879e-01
 8.333333333333333e-02 -8.254918182384645e-07 -2.122430054650607e-04 -2.122430054650607e-04  0.000000000000000e+00  2.284584516976014e-01 -8.254918182384645e-07 -2.122430054650607e-04 -2.122430054650607e-04  0.000000000000000e+00  2.284584516976014e-01 -8.254918182384645e-07 -2.122430054650607e-04 -2.122430054650607e-04  0.000000000000000e+00  2.284584516976014e-01
 1.000000000000000e-01 -1.435092486528865e-06 -3.003294600971411e-04 -3.003294600971411e-04  0.000000000000000e+00  2.281293233498327e-01 -1.435092486528865e-06 -3.003294600971411e-04 -3.003294600971411e-04  0.000000000000000e+00  2.281293233498327e-01 -1.435092486528865e-06 -3.003294600971411e-04 -3.003294600971411e-04  0.000000000000000e+00  2.281293233498327e-01
 1.166666666666667e-01 -2.364839285453834e-06 -4.016226224733449e-04 -4.016226224733449e-04  0.000000000000000e+00  2.277303933429000e-01 -2.364839285453834e-06 -4.016226224733449e-04 -4.016226224733449e-04  0.000000000000000e+00  2.277303933429000e-01 -2.364839285453834e-06 -4.016226224733449e-04 -4.016226224733449e-04  0.000000000000000e+00  2.277303933429000e-01
 1.333333333333333e-01 -3.733772508959922e-06 -5.152860743202868e-04 -5.152860743202868e-04  0.000000000000000e+00  2.272582765828977e-01 -3.733772508959922e-06 -5.152860743202868e-04 -5.152860743202868e-04  0.000000000000000e+00  2.272582765828977e-01 -3.733772508959922e-06 -5.152860743202868e-04 -5.152860743202868e-04  0.000000000000000e+00  2.272582765828977e-01
 1.500000000000000e-01 -5.688496660902799e-06 -6.404919025048479e-04 -6.404919025048479e-04  0.000000000000000e+00  2.267094552903669e-01 -5.688496660902799e-06 -6.404919025048479e-04 -6.404919025048479e-04  0.000000000000000e+00  2.267094552903669e-01 -5.688496660902799e-06 -6.404919025048479e-04 -6.404919025048479e-04  0.000000000000000e+00  2.267094552903669e-01
 1.666666666666667e-01 -8.406090464557275e-06 -7.764183175576171e-04 -7.764183175576171e-04  0.000000000000000e+00  2.260802760728807e-01 -8.406090464557275e-06 -7.764183175576171e-04 -7.764183175576171e-04  0.000000000000000e+00  2.260802760728807e-01 -8.406090464557275e-06 -7.764183175576171e-04 -7.764183175576171e-04  0.000000000000000e+00  2.260802760728807e-01
