0.000 1.00  2.9998973e-01  3.6616001e-02  2.0965626e+00  1.3186813e+00  2.0966415e+00  3.7639176e-05  0.0000000e+00  1.3187265e+00  3.4256193e-05  0.0000000e+00  0.0000000e+00  0.0000000e+00  8.7834239e-01  4.7694959e-11  0.0000000e+00  6.7682375e-01 -4.6440629e-13 -0.0000000e+00  1.0447931e-01  4.1807550e-02
0.100 1.00  2.9985295e-01  3.6616001e-02  2.0964681e+00  1.3186813e+00  2.0977734e+00  6.2261758e-04  6.0443723e-04  1.3195488e+00  6.5786141e-04  0.0000000e+00  9.3153397e-02  1.0000000e-01  8.7835381e-01  1.3007370e-05  2.1843295e-05  6.7678161e-01 -6.2261961e-05 -1.1136974e-05  1.0444729e-01  4.1804299e-02
0.150 1.00  2.9968115e-01  3.6616001e-02  2.0963494e+00  1.3186813e+00  2.0991924e+00  1.3561601e-03  1.3599838e-03  1.3205776e+00  1.4380088e-03  0.0000000e+00  1.3973964e-01  1.5000000e-01  8.7836835e-01  2.9560771e-05  4.9147415e-05  6.7672925e-01 -1.3961585e-04 -2.5058192e-05  1.0440711e-01  4.1800140e-02
0.200 1.00  2.9944239e-01  3.6616001e-02  2.0961847e+00  1.3186813e+00  2.1011828e+00  2.3843751e-03  2.4177489e-03  1.3220289e+00  2.5386016e-03  0.0000000e+00  1.8634778e-01  2.0000000e-01  8.7838920e-01  5.3291176e-05  8.7373182e-05  6.7665657e-01 -2.4700897e-04 -4.4547898e-05  1.0435057e-01  4.1794140e-02
0.250 1.00  2.9913956e-01  3.6616001e-02  2.0959761e+00  1.3186813e+00  2.1037566e+00  3.7121517e-03  3.7777327e-03  1.3239294e+00  3.9798325e-03  0.0000000e+00  2.3296624e-01  2.5000000e-01  8.7841684e-01  8.4765219e-05  1.3652060e-04  6.7656419e-01 -3.8349530e-04 -6.9606090e-05  1.0427738e-01  4.1786119e-02
0.300 1.00  2.9875704e-01  3.6616001e-02  2.0957129e+00  1.3186813e+00  2.1069276e+00  5.3512720e-03  5.4399351e-03  1.3262255e+00  5.7209867e-03  0.0000000e+00  2.7960977e-01  3.0000000e-01  8.7845194e-01  1.2472641e-04  1.9658966e-04  6.7645299e-01 -5.4778654e-04 -1.0023277e-04  1.0418716e-01  4.1775847e-02
0.350 1.00  2.9833569e-01  3.6616001e-02  2.0954235e+00  1.3186813e+00  2.1106847e+00  7.2831301e-03  7.4043561e-03  1.3290825e+00  7.8875531e-03  0.0000000e+00  3.2627793e-01  3.5000000e-01  8.7849531e-01  1.7410147e-04  2.6758037e-04  6.7632405e-01 -7.3830078e-04 -1.3642794e-04  1.0407937e-01  4.1763004e-02
0.375 1.00  2.9807084e-01  3.6616001e-02  2.0952418e+00  1.3186813e+00  2.1128187e+00  8.3889554e-03  8.4998985e-03  1.3305891e+00  9.0300577e-03  0.0000000e+00  3.4961109e-01  3.7500000e-01  8.7852039e-01  2.0265730e-04  3.0717134e-04  6.7625338e-01 -8.4271289e-04 -1.5661370e-04  1.0401876e-01  4.1755525e-02
0.400 1.00  2.9783981e-01  3.6616001e-02  2.0950836e+00  1.3186813e+00  2.1150650e+00  9.5373078e-03  9.6709957e-03  1.3323864e+00  1.0393025e-02  0.0000000e+00  3.7298489e-01  4.0000000e-01  8.7854795e-01  2.3403568e-04  3.4949273e-04  6.7617882e-01 -9.5287924e-04 -1.7819159e-04  1.0395349e-01  4.1747253e-02
0.425 1.00  2.9756892e-01  3.6616001e-02  2.0948982e+00  1.3186813e+00  2.1174918e+00  1.0785077e-02  1.0917647e-02  1.3342310e+00  1.1791878e-02  0.0000000e+00  3.9634529e-01  4.2500000e-01  8.7857811e-01  2.6837523e-04  3.9454452e-04  6.7610062e-01 -1.0684135e-03 -2.0116160e-04  1.0388354e-01  4.1738151e-02
0.450 1.00  2.9728101e-01  3.6616001e-02  2.0947014e+00  1.3186813e+00  2.1200778e+00  1.2114570e-02  1.2239854e-02  1.3361978e+00  1.3283347e-02  0.0000000e+00  4.1971521e-01  4.5000000e-01  8.7861106e-01  3.0588686e-04  4.4232673e-04  6.7601904e-01 -1.1889432e-03 -2.2552373e-04  1.0380877e-01  4.1728152e-02
0.475 1.00  2.9698628e-01  3.6616001e-02  2.0945002e+00  1.3186813e+00  2.1228255e+00  1.3523649e-02  1.3637615e-02  1.3383354e+00  1.4904353e-02  0.0000000e+00  4.4309991e-01  4.7500000e-01  8.7864698e-01  3.4677852e-04  4.9283935e-04  6.7593438e-01 -1.3140411e-03 -2.5127798e-04  1.0372909e-01  4.1717191e-02
0.500 1.00  2.9667133e-01  3.6616001e-02  2.0942855e+00  1.3186813e+00  2.1257421e+00  1.5020197e-02  1.5110931e-02  1.3405923e+00  1.6615817e-02  0.0000000e+00  4.6649766e-01  5.0000000e-01  8.7868606e-01  3.9127053e-04  5.4608239e-04  6.7584693e-01 -1.4432420e-03 -2.7842436e-04  1.0364438e-01  4.1705195e-02
