0.000 1.00  2.9998973e-01  3.6616001e-02  2.0965626e+00  1.3186813e+00  2.0966415e+00  3.7639175e-05  0.0000000e+00  1.3187265e+00  3.4256210e-05  0.0000000e+00  0.0000000e+00  0.0000000e+00  8.7834239e-01  4.7694959e-11  0.0000000e+00  6.7682375e-01 -4.6651571e-13 -0.0000000e+00  1.0447931e-01  4.1807550e-02
0.100 1.00  2.9990660e-01  3.6616001e-02  2.0965051e+00  1.3186813e+00  2.0978403e+00  6.3684713e-04  6.0443723e-04  1.3198691e+00  9.0073781e-04  0.0000000e+00  9.5788808e-02  1.0000000e-01  8.7835597e-01  1.5464503e-05  2.1843295e-05  6.7678037e-01 -6.4099179e-05 -1.1136974e-05  1.0444469e-01  4.1803607e-02
0.150 1.00  2.9960671e-01  3.6616001e-02  2.0962981e+00  1.3186813e+00  2.0994628e+00  1.5096821e-03  1.3599838e-03  1.3205897e+00  1.4471849e-03  0.0000000e+00  1.4615579e-01  1.5000000e-01  8.7837603e-01  3.8299204e-05  4.9147415e-05  6.7672513e-01 -1.4570956e-04 -2.5058192e-05  1.0439793e-01  4.1797664e-02
0.200 1.00  2.9935408e-01  3.6616001e-02  2.0961239e+00  1.3186813e+00  2.1018810e+00  2.7465901e-03  2.4177489e-03  1.3225176e+00  2.9091649e-03  0.0000000e+00  1.9764364e-01  2.0000000e-01  8.7840850e-01  7.5270460e-05  8.7373182e-05  6.7664715e-01 -2.6092083e-04 -4.4547898e-05  1.0432773e-01  4.1787888e-02
0.250 1.00  2.9904309e-01  3.6616001e-02  2.0959096e+00  1.3186813e+00  2.1052038e+00  4.4344125e-03  3.7777327e-03  1.3253240e+00  5.0373536e-03  0.0000000e+00  2.5131980e-01  2.5000000e-01  8.7845714e-01  1.3064607e-04  1.3652060e-04  6.7654697e-01 -4.0894423e-04 -6.9606090e-05  1.0423041e-01  4.1773040e-02
0.300 1.00  2.9874410e-01  3.6616001e-02  2.0957040e+00  1.3186813e+00  2.1094757e+00  6.5714178e-03  5.4399351e-03  1.3293777e+00  8.1114428e-03  0.0000000e+00  3.0646393e-01  3.0000000e-01  8.7852689e-01  2.1005233e-04  1.9658966e-04  6.7642623e-01 -5.8732995e-04 -1.0023277e-04  1.0410126e-01  4.1751467e-02
0.350 1.00  2.9813772e-01  3.6616001e-02  2.0952877e+00  1.3186813e+00  2.1149541e+00  9.3860184e-03  7.4043561e-03  1.3335792e+00  1.1297582e-02  0.0000000e+00  3.6393092e-01  3.5000000e-01  8.7862440e-01  3.2107177e-04  2.6758037e-04  6.7628842e-01 -7.9093988e-04 -1.3642794e-04  1.0393420e-01  4.1720911e-02
0.400 1.00  2.9723131e-01  3.6616001e-02  2.0946674e+00  1.3186813e+00  2.1219894e+00  1.3043586e-02  9.6709957e-03  1.3383848e+00  1.4941789e-02  0.0000000e+00  4.2433068e-01  4.0000000e-01  8.7875877e-01  4.7405881e-04  3.4949273e-04  6.7614005e-01 -1.0101630e-03 -1.7819159e-04  1.0372101e-01  4.1678224e-02
0.450 1.00  2.9669459e-01  3.6616001e-02  2.0943013e+00  1.3186813e+00  2.1304593e+00  1.7264928e-02  1.2239854e-02  1.3466542e+00  2.1212802e-02  0.0000000e+00  4.8645054e-01  4.5000000e-01  8.7894290e-01  6.8368286e-04  4.4232673e-04  6.7599329e-01 -1.2269974e-03 -2.2552373e-04  1.0345108e-01  4.1619175e-02
0.475 1.00  2.9641664e-01  3.6616001e-02  2.0941121e+00  1.3186813e+00  2.1353806e+00  1.9706941e-02  1.3637615e-02  1.3516155e+00  2.4975079e-02  0.0000000e+00  5.1934140e-01  4.7500000e-01  8.7905910e-01  8.1598247e-04  4.9283935e-04  6.7592669e-01 -1.3254016e-03 -2.5127798e-04  1.0329018e-01  4.1581642e-02
0.500 1.00  2.9601561e-01  3.6616001e-02  2.0938394e+00  1.3186813e+00  2.1412281e+00  2.2632469e-02  1.5110931e-02  1.3571895e+00  2.9202059e-02  0.0000000e+00  5.5304004e-01  5.0000000e-01  8.7919524e-01  9.7098061e-04  5.4608239e-04  6.7586933e-01 -1.4101494e-03 -2.7842436e-04  1.0310831e-01  4.1537240e-02
