0.000 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0000605e+00  3.0256761e-05  0.0000000e+00  0.0000000e+00           -nan  0.0000000e+00  0.0000000e+00  0.0000000e+00  8.9897949e-01  1.6501689e-11  0.0000000e+00  7.3205081e-01 -2.2204460e-15 -0.0000000e+00  9.6225045e-02  3.4020691e-02
0.010 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0000726e+00  3.6301715e-05  6.0443723e-06  0.0000000e+00           -nan  0.0000000e+00  1.0000028e-02  1.0000000e-02  8.9897968e-01  2.1845381e-07  2.1843295e-07  7.3205073e-01 -1.1137006e-07 -1.1136974e-07  9.6224705e-02  3.4020642e-02
0.100 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0012711e+00  6.3555081e-04  6.0443723e-04  0.0000000e+00           -nan  0.0000000e+00  1.0001591e-01  1.0000000e-01  8.9899922e-01  2.1946731e-05  2.1843295e-05  7.3204284e-01 -1.0888876e-05 -1.1136974e-05  9.6190997e-02  3.4015727e-02
0.150 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0027895e+00  1.3947586e-03  1.3599838e-03  0.0000000e+00           -nan  0.0000000e+00  1.5005623e-01  1.5000000e-01  8.9902414e-01  4.9672803e-05  4.9147415e-05  7.3203339e-01 -2.3795569e-05 -2.5058192e-05  9.6148240e-02  3.4009428e-02
0.200 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0049241e+00  2.4620384e-03  2.4177489e-03  0.0000000e+00           -nan  0.0000000e+00  2.0012684e-01  2.0000000e-01  8.9905953e-01  8.9041049e-05  8.7373182e-05  7.3202114e-01 -4.0527722e-05 -4.4547898e-05  9.6088011e-02  3.4000429e-02
0.250 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0076809e+00  3.8404353e-03  3.7777327e-03  0.0000000e+00           -nan  0.0000000e+00  2.5024443e-01  2.5000000e-01  8.9910590e-01  1.4061623e-04  1.3652060e-04  7.3200711e-01 -5.9696955e-05 -6.9606090e-05  9.6009934e-02  3.3988551e-02
0.300 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0110761e+00  5.5380272e-03  5.4399351e-03  0.0000000e+00           -nan  0.0000000e+00  3.0042243e-01  3.0000000e-01  8.9916391e-01  2.0514628e-04  1.9658966e-04  7.3199265e-01 -7.9441449e-05 -1.0023277e-04  9.5913504e-02  3.3973549e-02
0.350 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0151211e+00  7.5605472e-03  7.4043561e-03  0.0000000e+00           -nan  0.0000000e+00  3.5066416e-01  3.5000000e-01  8.9923441e-01  2.8357206e-04  2.6758037e-04  7.3197953e-01 -9.7363801e-05 -1.3642794e-04  9.5798080e-02  3.3955118e-02
0.375 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0173950e+00  8.6975166e-03  8.4998985e-03  0.0000000e+00           -nan  0.0000000e+00  3.7580037e-01  3.7500000e-01  8.9927468e-01  3.2836192e-04  3.0717134e-04  7.3197414e-01 -1.0472565e-04 -1.5661370e-04  9.5733002e-02  3.3944498e-02
0.400 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0198346e+00  9.9173190e-03  9.6709957e-03  0.0000000e+00           -nan  0.0000000e+00  4.0103770e-01  4.0000000e-01  8.9931847e-01  3.7708188e-04  3.4949273e-04  7.3196996e-01 -1.1043922e-04 -1.7819159e-04  9.5662855e-02  3.3932872e-02
0.425 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0224673e+00  1.1233641e-02  1.0917647e-02  0.0000000e+00           -nan  0.0000000e+00  4.2620736e-01  4.2500000e-01  8.9936592e-01  4.2986109e-04  3.9454452e-04  7.3196732e-01 -1.1404795e-04 -2.0116160e-04  9.5587631e-02  3.3920209e-02
0.450 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0252618e+00  1.2630880e-02  1.2239854e-02  0.0000000e+00           -nan  0.0000000e+00  4.5143069e-01  4.5000000e-01  8.9941728e-01  4.8698601e-04  4.4232673e-04  7.3196665e-01 -1.1496193e-04 -2.2552373e-04  9.5507030e-02  3.3906401e-02
0.475 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0282385e+00  1.4119258e-02  1.3637615e-02  0.0000000e+00           -nan  0.0000000e+00  4.7668971e-01  4.7500000e-01  8.9947271e-01  5.4864485e-04  4.9283935e-04  7.3196838e-01 -1.1259181e-04 -2.5127798e-04  9.5420976e-02  3.3891398e-02
0.500 1.00  0.0000000e+00  0.0000000e+00  2.0000000e+00  0.0000000e+00  2.0313981e+00  1.5699061e-02  1.5110931e-02  0.0000000e+00           -nan  0.0000000e+00  5.0197042e-01  5.0000000e-01  8.9953242e-01  6.1507412e-04  5.4608239e-04  7.3197302e-01 -1.0626556e-04 -2.7842436e-04  9.5329297e-02  3.3875119e-02
